foreign_id,Romaji,English
1,Iie.,No.
1,roku-gatsu,June
1,shichi-gatsu,July
1,hachi-gatsu,August
1,ku-gatsu,September
1,jyu-gatsu,October
1,jyuichi-gatsu,November
1,jyuni-gatsu,December
1,rei,zero
1,ichi,one
1,ni,two
1,san,three
1,shi/ yon,four
1,go,five
1,roku,six
1,shi-gatsu,April
1,san-gatsu,March
1,Oishii!,Delicious!
1,Watashi wa ~desu.,I'm...(name).
1,sayonara,Goodbye.
1,Hai.,Yes.
1,getsu-yobi,Monday
1,ka-yobi,Tuesday
1,sui-yobi,Wednesday
1,moku-yobi,Thursday
1,schi-yobi,Friday
1,do-yobi,Saturday
1,nichi-yobi,Sunday
1,go-gatsu,May
1,ichi-gatsu,January
1,ni-gatsu,February
1,shichi/ nana,seven
1,hachi,eight
1,te,hand
1,yubi,finger
1,karada,body
1,i,stomach
1,senaka,back
1,mune,chest
1,kangoshi,nurse
1,keisatsukan,police officer
1,enjinia,engineer
1,isha,doctor
1,manajya,manager
1,sensei,teacher
1,ude,arm
1,atama,head
1,kyu,nine
1,jyu,ten
1,biru,beer
1,cha,tea
1,wain,wine
1,mizu,water
1,gyu-niku,beef
1,buta niku,pork
2,tori niku,chicken
2,ramu niku,lamb
2,sakana,fish
2,ashi,foot
2,ashi,leg
2,purograma,programmer
2,haiiro,grey/gray/ashen
2,hourensou,spinach
2,sakuranbo,cherry
2,azarashi,seal
2,same,shark
2,kujira,whale
2,iruka,dolphin
2,kurage,jellyfish
2,tori,bird/fowl/poultry
2,niwatori,chicken
2,nezumi,(1) mouse/rat/(2) dark gray/dark grey/slate (color/ colour)
2,toshi,year
2,kyou,today
2,hana,nose
2,hoo,cheek (of face)
2,nettai urin,rain forest
2,shima,island
2,mori,forest
2,mizuumi,lake
2,nohara,field
2,sabaku,desert
2,enpitsu,(abbr) mechanical pencil/automatic pencil/(lit: sharp pencil)
2,jougi,(measuring) ruler
2,joushi,superior authorities/boss
2,kaigi,meeting/conference/session/assembly/council/convention/congress
2,shorui,documents/official papers
2,yuubinkyoku,post office
2,keisatsusho,police station
2,yakkyoku,pharmacy/chemist/drugstore
2,ashita,tomorrow
2,kinÅç,yesterday
2,yoi,good
2,kirei,Beautiful
2,minikui,ugly
2,muzukashii,difficult
2,kantan,easy
2,warui,bad
2,chikai,near
2,Hajimemashite.,Nice to meet you.
2,Konnichiwa.,Hello.
2,ohayo,Good morning.
2,Konnichiwa.,Good afternoon.
2,Konbanwa.,Good evening.
2,O-yasuminasai.,Good night.
2,O-genki desu ka.,How are you?
2,chiisai,small
2,carenda,calendar
2,byou,second
2,jikan,hour
2,fun,minute
2,ji,o'clock
2,tokei,clock
2,dekiru,can
2,tsukau,use
2,suru,do
2,iku,go
2,kuru,come
2,warau,laugh
2,tsukuru,make
2,miru,see
2,arigato,Thank you!
